"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Alexander, Jason",669920,"HOU","FF","4-Seam Fastball",-4.5,-3,"69",23.1,"23","0.381","0.762","0.52",11.4,13,14.3,"0.217","0.378","0.293",50
"Quintana, Jose",500779,"COL","SV","Slurve",-4.6,-4,"98",14.3,"23","0.261","0.826","0.478",24.4,17.4,8.9,"0.242","0.511","0.315",26.3
"Dobbins, Hunter",690928,"STL","CU","Curveball",-1.4,-1,"81",10.7,"23","0.238","0.429","0.32",39.4,34.8,29.6,"0.21","0.373","0.287",23.1
"Hill, Jaden",677955,"COL","CH","Changeup",1.2,1,"94",19.5,"23","0.227","0.273","0.241",46.9,26.1,23.1,"0.21","0.256","0.224",25
"Hancock, Emerson",676106,"SEA","CH","Changeup",-5.2,-5,"100",5.2,"23","0.304","0.565","0.409",20.5,13,13,"0.218","0.487","0.297",35
"Medina, Luis",665622,"ATH","CU","Curveball",0,0,"112",12.2,"23","0.238","0.476","0.304",55,47.8,40.7,"0.214","0.485","0.309",54.5
"Herget, Jimmy",623474,"COL","FF","4-Seam Fastball",-1.1,-1,"55",8.6,"23","0.111","0.278","0.278",17.9,34.8,18.6,"0.147","0.349","0.315",60
"Wilcox, Cole",677961,"SEA","SI","Sinker",-3.4,-3,"78",16,"23","0.429","0.5","0.524",16.1,4.3,9.1,"0.351","0.461","0.488",46.2
"Cavalli, Cade",676917,"WSH","FC","Cutter",-0.1,0,"115",5.3,"23","0.318","0.727","0.434",17.5,4.3,3.8,"0.355","0.585","0.417",50
"Petty, Chase",695534,"CIN","CH","Changeup",-1,-1,"110",23.1,"23","0.2","0.4","0.311",33.3,8.7,5.9,"0.239","0.37","0.319",22.2
"Bachar, Lake",669199,"PIT","FS","Split-Finger",-0.6,-1,"102",9.5,"23","0.25","0.4","0.335",37,17.4,13.3,"0.215","0.346","0.302",6.3
